"customerid","Contract","MonthlyCharges","tenure","Churn","risk_segment"
"5149-QYTTU","One year","95.15","71","No","stable"
"2070-XYMFH","Month-to-month","79.35","23","No","medium risk"
"2085-BOJKI","One year","96.65","17","No","stable"
"0817-HSUSE","Month-to-month","75.5","1","No","medium risk"
"5442-PPTJY","Two year","19.7","12","No","stable"
"1927-QEWMY","Two year","20.5","72","No","stable"
"1663-MHLHE","Month-to-month","19.2","1","No","medium risk"
"5663-QBGIS","Two year","98.35","72","No","stable"
"4450-MDZFX","Month-to-month","74.35","60","No","medium risk"
"6701-DHKWQ","Two year","51.35","61","No","stable"
"7554-AKDQF","Month-to-month","45.65","6","No","medium risk"
"3536-IQCTX","Month-to-month","85.3","32","Yes","churned"
"4911-BANWH","Month-to-month","86.55","31","Yes","churned"
"8496-EJAUI","Month-to-month","73.85","19","Yes","churned"
"0794-YVSGE","Two year","20.3","72","No","stable"
"5423-BHIXO","Month-to-month","54.2","32","No","medium risk"
"6908-VVYHM","Month-to-month","90.65","65","No","medium risk"
"2959-EEXWB","Month-to-month","50.9","45","No","medium risk"
"1839-UMACK","One year","25.05","42","No","stable"
"3030-YDNRM","Month-to-month","74.85","8","No","medium risk"
"7321-KKSDU","Two year","20.5","32","No","stable"
"3402-XRIUO","Month-to-month","63.55","22","No","medium risk"
"3132-TVFDZ","Month-to-month","44.85","57","Yes","churned"
"8286-AFUYI","Month-to-month","47.95","1","No","medium risk"
"8080-DDEMJ","Month-to-month","45.1","1","Yes","churned"
"8356-WUAOJ","Month-to-month","45","1","No","medium risk"
"6365-MTGZX","Month-to-month","96","24","Yes","churned"
"1349-WXNGG","Month-to-month","20.05","1","Yes","churned"
"8058-DMYRU","Month-to-month","90.05","54","No","medium risk"
"9350-ZXYJC","Two year","25.3","4","No","stable"
"6990-YNRIO","Two year","108.65","65","Yes","churned"
"8958-JPTRR","One year","24.3","56","No","stable"
"6959-GQEGV","Month-to-month","75.95","45","No","medium risk"
"3173-WSSUE","Two year","19.7","71","No","stable"
"1265-HVPZB","One year","66.4","59","No","stable"
"4115-UMJFQ","One year","35.75","69","No","stable"
"7369-TRPFD","One year","18.8","19","No","stable"
"1098-KFQEC","Two year","19.4","55","No","stable"
"7190-XHTWJ","One year","19.3","38","No","stable"
"0621-TWIEM","Month-to-month","45.55","10","Yes","churned"
"3537-RYBHH","Month-to-month","67.45","47","No","medium risk"
"2485-ITVKB","Month-to-month","35.1","2","Yes","churned"
"3669-OYSJI","Month-to-month","46.2","1","Yes","churned"
"1612-EOHDH","Month-to-month","45.15","1","Yes","churned"
"6702-OHFWR","Month-to-month","43.3","1","Yes","churned"
"5296-BFCYD","Two year","20.1","46","No","stable"
"4510-PYUSH","Month-to-month","57.15","38","Yes","churned"
"9359-JANWS","Two year","58.9","65","No","stable"
"7517-SAWMO","Month-to-month","73.2","19","Yes","churned"
"4143-HHPMK","Month-to-month","85.35","52","Yes","churned"
"3279-DYZQM","Two year","19.45","71","No","stable"
"7054-LGEQW","Month-to-month","45.95","1","Yes","churned"
"0523-VNGTF","Month-to-month","50.5","52","No","medium risk"
"9575-IWCAZ","One year","25.1","6","No","stable"
"7105-MXJLL","One year","60.7","26","No","stable"
"7064-FRRSW","One year","99","48","No","stable"
"7940-UQQUG","One year","104.4","64","No","stable"
"0923-PNFUB","Month-to-month","83.75","3","Yes","churned"
"3961-SXAXY","Month-to-month","44.05","1","No","medium risk"
"7010-BRBUU","Two year","24.1","72","No","stable"
"3566-HJGPK","Month-to-month","45.55","1","No","medium risk"
"3062-ICYZQ","Month-to-month","93.8","51","No","medium risk"
"9938-PRCVK","Two year","19.7","41","No","stable"
"0973-KYVNF","Two year","70.65","72","No","stable"
"5129-HHMZC","Two year","86.45","43","No","stable"
"9637-CDTKZ","Two year","114.1","72","No","stable"
"3946-JEWRQ","One year","95.2","47","No","stable"
"7873-CVMAW","Two year","88.55","72","No","stable"
"0463-WZZKO","Month-to-month","20.75","3","No","medium risk"
"3494-JCHRQ","Month-to-month","70.05","1","Yes","churned"
"6474-FVJLC","Month-to-month","86","2","Yes","churned"
"4524-QCSSM","Month-to-month","44.65","26","No","medium risk"
"5832-EXGTT","Month-to-month","60.2","29","No","medium risk"
"8840-DQLGN","Month-to-month","100.5","35","Yes","churned"
"2039-JONDJ","One year","55.45","27","No","stable"
"7217-JYHOQ","Month-to-month","70.3","24","No","medium risk"
"6695-FRVEC","Two year","60.4","67","No","stable"
"4547-LYTDD","Month-to-month","72.65","16","Yes","churned"
"9894-QMIMJ","One year","55.8","23","No","stable"
"8069-YQQAJ","Month-to-month","31.1","14","No","medium risk"
"6770-XUAGN","Month-to-month","21","1","Yes","churned"
"4193-ORFCL","Month-to-month","45.1","1","Yes","churned"
"1636-NTNCO","Month-to-month","50.95","4","No","medium risk"
"3466-WAESX","Month-to-month","69.1","16","No","medium risk"
"9281-PKKZE","Month-to-month","43.95","46","No","medium risk"
"3638-VBZTA","Two year","86.5","68","No","stable"
"7459-IMVYU","Month-to-month","69.95","38","No","medium risk"
"7776-QWNFX","Month-to-month","50.4","30","Yes","churned"
"6689-TCZHQ","Month-to-month","78.95","5","Yes","churned"
"8563-OYMQY","Month-to-month","90.95","17","No","medium risk"
"0754-EEBDC","Two year","19.9","4","No","stable"
"5777-ZPQNC","One year","20.15","12","No","stable"
"1951-IEYXM","Two year","90.6","72","No","stable"
"3318-NMQXL","Month-to-month","92","3","No","high risk"
"3143-ILDAL","Month-to-month","94.45","56","Yes","churned"
"1022-RKXDR","One year","24.85","41","No","stable"
"2361-FJWNO","One year","36","40","No","stable"
"2272-UOINI","Month-to-month","78.5","7","No","medium risk"
"8232-UTFOZ","Two year","19.95","69","No","stable"
"3750-YHRYO","One year","20.65","7","No","stable"
"6637-KYRCV","Month-to-month","30.5","5","No","medium risk"
"5668-MEISB","Two year","106.1","72","No","stable"
"0129-QMPDR","One year","20.5","44","No","stable"
"7188-CBBBA","One year","95.5","65","No","stable"
"5356-CSVSQ","Month-to-month","64.6","3","No","medium risk"
"3221-CJMSG","Month-to-month","51.1","24","No","medium risk"
"4720-VSTSI","Month-to-month","84.8","44","Yes","churned"
"3219-JQRSL","Two year","89.1","72","No","stable"
"2801-NISEI","Month-to-month","54.95","24","No","medium risk"
"3946-MHCZW","Month-to-month","50.9","1","Yes","churned"
"4623-ZKHLY","Month-to-month","20.45","22","No","medium risk"
"6732-VAILE","Two year","85.95","70","No","stable"
"8201-AAXCB","Month-to-month","60.35","25","No","medium risk"
"7696-CFTAT","Two year","19.8","37","No","stable"
"1845-CSBRZ","Month-to-month","85.35","22","No","medium risk"
"2123-VSCOT","Two year","72.1","59","No","stable"
"6651-AZVTJ","Month-to-month","99.8","49","Yes","churned"
"4566-GOLUK","Month-to-month","107.35","47","Yes","churned"
"2484-DGXPZ","Month-to-month","19.55","31","Yes","churned"
"2018-QKYGT","Month-to-month","81.05","1","No","high risk"
"2792-VPPET","Month-to-month","20.5","3","No","medium risk"
"7409-JURKQ","One year","111.8","53","No","stable"
"3247-MHJKM","Month-to-month","20.2","1","No","medium risk"
"1964-SVLEA","One year","19.7","20","No","stable"
"4587-NUKOX","Month-to-month","79.1","3","Yes","churned"
"7297-DVYGA","One year","19.85","51","No","stable"
"2239-CGBUZ","One year","60.5","51","No","stable"
"0854-UYHZD","Two year","19.55","13","No","stable"
"7243-LCGGZ","Month-to-month","20.9","1","No","medium risk"
"8267-KFGYD","Month-to-month","21.05","1","No","medium risk"
"4890-VMUAV","One year","71.5","63","No","stable"
"9261-WDCAF","Month-to-month","54.65","3","No","medium risk"
"3764-MNMOI","Two year","19.2","46","No","stable"
"7442-YGZFK","Month-to-month","49.8","1","No","medium risk"
"0420-BWTPW","Month-to-month","25.5","8","Yes","churned"
"8229-BUJHX","Two year","20.5","71","No","stable"
"7449-HVPIV","Month-to-month","90.4","55","No","medium risk"
"5504-WSIUR","One year","90.25","70","No","stable"
"8183-ONMXC","Month-to-month","80.75","2","Yes","churned"
"8466-PZBLH","Two year","104.6","67","No","stable"
"9614-RMGHA","Month-to-month","91.85","65","Yes","churned"
"8735-IJJEG","Month-to-month","50.2","14","No","medium risk"
"0564-MUUQK","Month-to-month","95.5","20","No","medium risk"
"5054-IEXZT","Month-to-month","75.35","1","Yes","churned"
"5834-ASPWA","Month-to-month","75.45","1","Yes","churned"
"0701-RFGFI","Month-to-month","95.4","49","No","medium risk"
"0019-EFAEP","Two year","101.3","72","No","stable"
"5619-PTMIK","Month-to-month","53.1","46","No","medium risk"
"3737-XBQDD","Month-to-month","84.85","24","No","medium risk"
"5882-CMAZQ","Month-to-month","34.25","5","No","medium risk"
"5846-QFDFI","Month-to-month","88.6","33","No","medium risk"
"4445-KWOKW","One year","60.15","42","No","stable"
"3511-APPBJ","One year","99.95","23","No","stable"
"7967-HYCDE","Month-to-month","70.7","8","No","medium risk"
"2430-RRYUW","One year","54.8","66","No","stable"
"3948-XHGNA","Month-to-month","49.55","24","Yes","churned"
"3723-BFBGR","Month-to-month","54.8","24","No","medium risk"
"0565-IYCGT","One year","78.6","69","Yes","churned"
"5447-WZAFP","One year","100.3","53","No","stable"
"5110-CHOPY","Two year","53.6","60","No","stable"
"5445-UTODQ","Month-to-month","81.1","7","Yes","churned"
"4425-OWHWB","One year","19.35","20","No","stable"
"7892-QVYKW","Month-to-month","85.6","23","No","medium risk"
"9675-ICXCT","Two year","80.8","72","No","stable"
"1024-VRZHF","Month-to-month","74.95","11","Yes","churned"
"4703-MQYKT","Two year","19.6","21","No","stable"
"9497-QCMMS","Month-to-month","93.55","1","Yes","churned"
"5692-ICXLW","Month-to-month","90.7","31","No","medium risk"
"0602-DDUML","Two year","69.75","57","No","stable"
"2208-MPXIO","Two year","20","45","No","stable"
"1960-UYCNN","Month-to-month","95.25","10","No","high risk"
"0348-SDKOL","Month-to-month","102.1","58","Yes","churned"
"3190-FZATL","Month-to-month","19.95","14","No","medium risk"
"7336-RLLRH","One year","80.85","27","No","stable"
"4373-MAVJG","Month-to-month","90.9","14","Yes","churned"
"8901-HJXTF","Month-to-month","29.2","12","Yes","churned"
"7710-JSYOA","Two year","93.3","69","No","stable"
"5419-KLXBN","Month-to-month","89.15","25","Yes","churned"
"3424-NMNBO","One year","108.85","58","Yes","churned"
"9885-MFVSU","Two year","46.35","35","No","stable"
"4514-GFCFI","Month-to-month","84.75","16","Yes","churned"
"0607-MVMGC","One year","78.75","45","No","stable"
"3365-SAIGS","Month-to-month","83.55","17","No","medium risk"
"9828-AOQLM","Month-to-month","45.7","1","Yes","churned"
"8022-BECSI","One year","19.6","22","No","stable"
"8000-REIQB","Month-to-month","69.95","1","Yes","churned"
"9993-LHIEB","Two year","67.85","67","No","stable"
"0266-CLZKZ","Two year","105.65","67","No","stable"
"7615-ESMYF","Month-to-month","44.6","2","Yes","churned"
"3858-VOBET","Month-to-month","74.95","23","Yes","churned"
"7020-OZKXZ","Month-to-month","75.5","9","No","medium risk"
"3977-QCRSL","Month-to-month","20.15","5","No","medium risk"
"0017-DINOC","Two year","45.2","54","No","stable"
"1447-PJGGA","Two year","95.25","57","Yes","churned"
"8565-CLBZW","Month-to-month","89.85","24","Yes","churned"
"9139-WQQDY","One year","100.45","49","Yes","churned"
"0224-HJAPT","Month-to-month","47.15","5","Yes","churned"
"8086-OVPWV","Month-to-month","80.2","2","Yes","churned"
"9430-FRQOC","Month-to-month","87.1","4","Yes","churned"
"7639-OPLNG","Two year","79.25","70","No","stable"
"3074-GQWYX","Month-to-month","75.9","5","Yes","churned"
"1492-QGCLU","Month-to-month","85.7","53","No","medium risk"
"6845-RGTYS","Month-to-month","98.75","47","Yes","churned"
"7328-OWMOM","One year","20.1","31","No","stable"
"4418-LZMSV","Month-to-month","61.8","13","No","medium risk"
"5155-AZQPB","Month-to-month","49.9","28","No","medium risk"
"8861-HGGKB","Month-to-month","86.45","10","Yes","churned"
"1087-GRUYI","Two year","20.4","38","No","stable"
"7065-YUNRY","Month-to-month","45.3","1","Yes","churned"
"7694-VLBWQ","One year","104.1","67","Yes","churned"
"2546-KZAAT","One year","75.4","52","No","stable"
"0181-RITDD","Two year","108.15","62","No","stable"
"5989-PGKJB","Month-to-month","86.25","16","No","medium risk"
"4795-KTRTH","Month-to-month","81","5","Yes","churned"
"8272-ONJLV","One year","95.7","12","No","stable"
"1488-PBLJN","Two year","116.85","72","No","stable"
"0308-GIQJT","One year","105.75","71","No","stable"
"3778-FOAQW","One year","20.15","24","No","stable"
"4452-ROHMO","Two year","19.6","15","No","stable"
"6481-OGDOO","One year","90.6","67","Yes","churned"
"3090-LETTY","Month-to-month","60.95","2","No","medium risk"
"5349-AZPEW","Month-to-month","25.05","5","No","medium risk"
"3753-TSEMP","Month-to-month","88.15","15","Yes","churned"
"8305-VHZBZ","Month-to-month","20.2","1","Yes","churned"
"9720-JJJOR","One year","60.3","41","No","stable"
"8100-HZZLJ","Month-to-month","63.95","43","No","medium risk"
"8775-ERLNB","Month-to-month","74.3","1","No","medium risk"
"8309-IEYJD","Month-to-month","70.6","1","No","medium risk"
"9172-JITSM","Month-to-month","90.8","26","Yes","churned"
"6298-QDFNH","Month-to-month","79.35","22","Yes","churned"
"7398-HPYZQ","Two year","90.55","71","No","stable"
"3546-GHEAE","Two year","19.45","7","No","stable"
"7361-YPXFS","Month-to-month","64.45","28","No","medium risk"
"6557-BZXLQ","Month-to-month","69.65","16","No","medium risk"
"2550-QHZGP","One year","19.5","7","No","stable"
"7519-JTWQH","Two year","110.5","69","No","stable"
"2538-OIMXF","Month-to-month","24.7","1","No","medium risk"
"8543-MSDMF","Month-to-month","77.4","3","No","medium risk"
"9961-JBNMK","Month-to-month","96.8","21","Yes","churned"
"1170-SASML","Month-to-month","85.4","69","No","medium risk"
"4872-JCVCA","Two year","47.6","71","No","stable"
"5346-BZCHP","Two year","19.4","69","No","stable"
"2038-LLMLM","Month-to-month","103.85","48","No","medium risk"
"6173-ITPWD","Month-to-month","83.35","47","Yes","churned"
"9734-UYXQI","Month-to-month","49.4","2","Yes","churned"
"1216-BGTSP","Month-to-month","108.45","45","No","medium risk"
"4138-NAXED","Month-to-month","81","51","No","medium risk"
"2189-UXTKY","Month-to-month","79.2","22","Yes","churned"
"0744-BIKKF","Two year","86.65","72","No","stable"
"7483-IQWIB","Month-to-month","92.95","37","No","medium risk"
"5248-KWLAR","Two year","90.35","71","No","stable"
"4958-GZWIY","Month-to-month","48.7","7","Yes","churned"
"7996-MHXLW","Two year","25.15","66","No","stable"
"7833-PKIHD","One year","76.4","51","No","stable"
"7061-OVMIM","One year","19.55","30","No","stable"
"5153-RTHKF","Month-to-month","85.35","34","No","medium risk"
"1852-QSWCD","Two year","24.8","64","No","stable"
"4832-VRBMR","One year","103.15","65","No","stable"
"9079-LWTFD","Month-to-month","100.75","47","No","medium risk"
"6356-ELRKD","Month-to-month","95.6","1","Yes","churned"
"8624-GIOUT","Month-to-month","59.75","49","Yes","churned"
"3392-EHMNK","Two year","94.1","67","No","stable"
"5986-WWXDV","One year","19.35","39","No","stable"
"3061-BCKYI","Month-to-month","19.9","14","No","medium risk"
"6179-GJPSO","Month-to-month","108.15","43","Yes","churned"
"7901-TBKJX","Month-to-month","101.05","56","No","medium risk"
"7228-PAQPD","One year","59.1","14","No","stable"
"3177-LASXD","Month-to-month","71.35","1","Yes","churned"
"7746-QYVCO","One year","55.85","16","No","stable"
"5804-HYIEZ","Month-to-month","106.05","70","No","medium risk"
"9919-FZDED","Two year","84.1","72","No","stable"
"5934-TSSAU","Month-to-month","75.3","23","No","medium risk"
"3486-KHMLI","Month-to-month","24.7","21","No","medium risk"
"4897-QSUYC","Month-to-month","20.15","1","Yes","churned"
"1084-UQCHV","Month-to-month","69.75","1","Yes","churned"
"8290-YWKHZ","Month-to-month","93.2","32","Yes","churned"
"2955-BJZHG","Month-to-month","80.85","17","Yes","churned"
"3806-DXQOM","Month-to-month","33.65","4","Yes","churned"
"6784-XYJAE","One year","55.8","36","No","stable"
"3933-DQPWX","Two year","39.7","50","No","stable"
"6661-EIPZC","Month-to-month","29.5","48","No","medium risk"
"8957-THMOA","Two year","20.15","50","No","stable"
"2251-PYLPB","Two year","79.55","72","No","stable"
"5555-RNPGT","Month-to-month","24.8","10","No","medium risk"
"1057-FOGLZ","Month-to-month","19.65","18","No","medium risk"
"9300-RENDD","Month-to-month","79.95","1","Yes","churned"
"0761-AETCS","Month-to-month","19.3","1","Yes","churned"
"8087-LGYHQ","Month-to-month","94.05","9","No","high risk"
"4137-BTIKL","Month-to-month","90.75","2","No","high risk"
"2190-BCXEC","Month-to-month","78.85","40","No","medium risk"
"6227-FBDXH","One year","99.5","69","No","stable"
"2153-MREFK","One year","99.2","37","Yes","churned"
"2911-WDXMV","Month-to-month","80.55","18","No","medium risk"
"7206-PQBBZ","Month-to-month","70.2","11","No","medium risk"
"3106-ULWFW","Month-to-month","85.2","8","Yes","churned"
"0925-VYDLG","Month-to-month","75.25","3","Yes","churned"
"4547-FZJWE","One year","59.45","55","No","stable"
"7422-WNBTY","Month-to-month","93.35","33","No","medium risk"
"0842-IWYCP","Month-to-month","44.95","46","No","medium risk"
"3521-HTQTV","Two year","26.1","34","No","stable"
"3744-ZBHON","Month-to-month","20.2","3","No","medium risk"
"3373-DIUUN","Two year","21.25","30","No","stable"
"8383-SGHJU","One year","59.4","33","No","stable"
"7607-QKKTJ","One year","95","45","No","stable"
"7707-PYBBH","Month-to-month","61.9","40","No","medium risk"
"8984-HPEMB","Two year","118.65","71","No","stable"
"4349-GFQHK","Month-to-month","54.35","1","Yes","churned"
"4139-DETXS","Two year","64.45","72","No","stable"
"9779-DPNEJ","Month-to-month","80.15","22","No","medium risk"
"9805-FILKB","One year","20.2","46","No","stable"
"5793-YOLJN","Two year","21","55","No","stable"
"0673-IGUQO","Month-to-month","20.45","1","No","medium risk"
"4123-FCVCB","One year","75.85","12","No","stable"
"8819-IMISP","Month-to-month","80.45","31","No","medium risk"
"7802-EFKNY","Month-to-month","24.95","5","Yes","churned"
"8311-UEUAB","Two year","75.5","67","No","stable"
"5858-EAFCZ","Month-to-month","44.45","1","No","medium risk"
"8035-BUYVG","One year","42.35","40","Yes","churned"
"1163-ONYEY","Month-to-month","74.55","41","No","medium risk"
"9787-XVQIU","Month-to-month","75.3","1","Yes","churned"
"8945-MUQUF","One year","94.8","51","Yes","churned"
"5656-MJEFC","Two year","48.15","42","No","stable"
"6082-OQFBA","One year","19.65","23","No","stable"
"8051-HJRLT","Month-to-month","70.55","1","Yes","churned"
"8974-OVACP","Month-to-month","20.15","1","No","medium risk"
"4010-YLMVT","Month-to-month","106.6","56","No","medium risk"
"1379-FRVEB","Month-to-month","91","15","No","medium risk"
"8612-GXIDD","Two year","25.4","12","No","stable"
"6288-CHQJB","Two year","69.95","54","No","stable"
"8160-HOWOX","Month-to-month","66.85","7","No","medium risk"
"3023-GFLBR","Month-to-month","86.15","33","Yes","churned"
"6648-INWPS","Month-to-month","20.15","16","No","medium risk"
"4223-BKEOR","One year","64.85","21","No","stable"
"4079-VTGLK","Two year","74.85","30","No","stable"
"1763-WQFUK","Month-to-month","50.5","3","No","medium risk"
"1391-UBDAR","Month-to-month","72.9","11","No","medium risk"
"8894-JVDCV","One year","115.05","62","No","stable"
"2023-VQFDL","Month-to-month","19","18","No","medium risk"
"1345-GKDZZ","Month-to-month","19.55","6","No","medium risk"
"2014-MKGMH","One year","101.1","46","No","stable"
"5628-FCGYG","Month-to-month","84.1","21","No","medium risk"
"2560-WBWXF","Two year","24.15","68","No","stable"
"0248-IPDFW","Month-to-month","50.1","1","No","medium risk"
"7978-DKUQH","Month-to-month","74.6","25","No","medium risk"
"4335-UPJSI","Two year","19.75","24","No","stable"
"0524-IAVZO","Month-to-month","85","30","Yes","churned"
"2737-YNGYW","Month-to-month","80.55","2","Yes","churned"
"1784-EZDKJ","One year","106.8","51","No","stable"
"9297-FVVDH","Two year","84.5","57","No","stable"
"8007-YYPWD","Two year","25.05","15","No","stable"
"7101-HRBLJ","Two year","83.7","72","No","stable"
"5159-YFPKQ","Month-to-month","75.8","2","Yes","churned"
"6635-CPNUN","Month-to-month","96.6","28","No","medium risk"
"4021-RQSNY","Month-to-month","98.5","29","Yes","churned"
"5453-YBTWV","Two year","101.1","70","No","stable"
"5039-LZRQT","One year","20.2","13","No","stable"
"2931-VUVJN","One year","94.05","59","No","stable"
"9061-TIHDA","Month-to-month","95.25","13","Yes","churned"
"8699-ASUFO","Month-to-month","74.4","7","Yes","churned"
"6418-PIQSP","Two year","81","62","No","stable"
"8220-OCUFY","One year","60.25","21","No","stable"
"3995-WFCSM","Month-to-month","60.85","2","No","medium risk"
"1895-QTKDO","Month-to-month","43.95","1","No","medium risk"
"2038-OEQZH","Month-to-month","86.05","4","No","high risk"
"1178-PZGAB","One year","20.25","19","No","stable"
"7927-AUXBZ","Month-to-month","85.15","30","Yes","churned"
"2626-VEEWG","Two year","19.4","67","No","stable"
"2878-RMWXY","Two year","102.65","72","No","stable"
"1657-DYMBM","Two year","19.9","53","No","stable"
"7311-MQJCH","One year","19.55","5","No","stable"
"7375-WMVMT","Two year","95.5","71","No","stable"
"1136-XGEQU","One year","84.15","50","No","stable"
"2530-FMFXO","Two year","103.2","56","No","stable"
"6844-DZKRF","Month-to-month","50.2","2","No","medium risk"
"4695-WJZUE","Month-to-month","88.55","2","Yes","churned"
"7619-ODSGN","Month-to-month","54.75","24","Yes","churned"
"5970-GHJAW","Two year","19.95","46","No","stable"
"8879-XUAHX","Two year","116.25","71","No","stable"
"3689-MOZGR","Month-to-month","31.2","29","No","medium risk"
"4195-PNGZS","Two year","24.45","69","No","stable"
"5003-XZWWO","Two year","84.2","71","No","stable"
"3988-RQIXO","Month-to-month","91.3","1","Yes","churned"
"7622-FWGEW","Two year","85.65","56","No","stable"
"6922-NCEDI","One year","21.2","56","No","stable"
"2514-GINMM","Month-to-month","79.5","1","Yes","churned"
"9891-NQDBD","One year","25.55","28","No","stable"
"6131-IUNXN","Month-to-month","20.2","19","No","medium risk"
"8548-AWOFC","Month-to-month","63.85","66","No","medium risk"
"9798-DRYDS","One year","61.95","17","No","stable"
"8532-UEFWH","Two year","25.75","52","No","stable"
"6296-DDOOR","One year","58.2","19","No","stable"
"7951-VRDVK","One year","85.85","36","No","stable"
"5931-FLJJF","Month-to-month","70.1","7","Yes","churned"
"4815-YOSUK","One year","104.9","72","No","stable"
"2659-VXMWZ","One year","111.3","67","Yes","churned"
"0380-NEAVX","One year","99.85","34","No","stable"
"3207-OYBWH","Month-to-month","95.25","57","Yes","churned"
"4285-GYRQC","Month-to-month","86.25","7","Yes","churned"
"7216-EWTRS","Month-to-month","100.8","1","Yes","churned"
"4365-MSDYN","Month-to-month","19.55","8","No","medium risk"
"7036-TYDEC","Two year","104","69","No","stable"
"5802-ADBRC","One year","104.4","50","No","stable"
"8076-FEZKJ","One year","19.5","10","No","stable"
"5197-YPYBZ","Two year","25.25","12","No","stable"
"8337-MSSXB","Month-to-month","86.3","14","Yes","churned"
"4312-GVYNH","Two year","49.85","70","No","stable"
"8495-LJDFO","Month-to-month","108.95","64","No","medium risk"
"0839-JTCUD","Two year","89.9","66","No","stable"
"5494-WOZRZ","Two year","82","71","No","stable"
"1302-UHBDD","Month-to-month","89.95","20","No","medium risk"
"2234-EOFPT","Two year","79.35","72","No","stable"
"8619-IJNDK","Two year","64.05","71","No","stable"
"8378-LKJAF","Month-to-month","101.15","38","No","medium risk"
"8182-BJDSI","Month-to-month","89.95","28","Yes","churned"
"2528-HFYZX","Month-to-month","76.45","17","Yes","churned"
"1153-GNOLC","One year","39.1","33","No","stable"
"3298-QEICA","Two year","34.6","23","No","stable"
"0788-DXBFY","One year","19.55","58","No","stable"
"3597-YASZG","Two year","104.45","70","No","stable"
"3496-LFSZU","Month-to-month","70.5","4","No","medium risk"
"5242-UOWHD","Two year","20.35","45","No","stable"
"2482-CZGBB","Month-to-month","70","10","Yes","churned"
"6479-SZPLM","Two year","19.45","36","No","stable"
"8097-VBQTZ","Month-to-month","69.9","54","No","medium risk"
"4500-HKANN","Two year","59.7","23","No","stable"
"9917-KWRBE","One year","78.35","41","No","stable"
"3420-ZDBMA","Month-to-month","71.45","5","No","medium risk"
"2212-LYASK","One year","45.85","27","No","stable"
"1393-IMKZG","Month-to-month","95.85","1","No","high risk"
"8069-RHUXK","Two year","35.7","67","No","stable"
"3398-GCPMU","Two year","89.55","72","No","stable"
"2908-WGAXL","Two year","24.95","56","No","stable"
"3378-AJRAO","One year","24.85","44","No","stable"
"1013-QCWAM","Month-to-month","100.8","66","No","medium risk"
"0866-QLSIR","One year","64.4","34","Yes","churned"
"6050-FFXES","Two year","105.35","69","No","stable"
"7181-BQYBV","Month-to-month","102.45","1","Yes","churned"
"0362-RAOQO","Two year","19.65","40","No","stable"
"9554-DFKIC","Month-to-month","54.45","30","No","medium risk"
"5527-ACHSO","Month-to-month","70.5","11","No","medium risk"
"0829-DDVLK","One year","20.1","15","No","stable"
"1399-UBQIU","Month-to-month","69.35","11","No","medium risk"
"1813-JLKWR","One year","19.8","64","No","stable"
"0336-PIKEI","Two year","74.4","72","No","stable"
"7322-OCWHC","Two year","93.05","72","No","stable"
"9537-VHDTA","Month-to-month","51.2","1","No","medium risk"
"4957-TIALW","One year","65.6","15","No","stable"
"2054-PJOCK","One year","80.55","60","No","stable"
"9150-HEPMB","One year","52.7","56","No","stable"
"9030-QGZNL","Two year","20.85","8","No","stable"
"6204-IEUXJ","Month-to-month","80.1","3","Yes","churned"
"3126-WQMGH","Month-to-month","52.15","49","No","medium risk"
"4529-CKBCL","Month-to-month","80.2","2","Yes","churned"
"2506-CLAKW","Month-to-month","98.15","6","Yes","churned"
"7176-WRTNX","Two year","114.95","70","No","stable"
"1583-IHQZE","Month-to-month","112.95","12","Yes","churned"
"5732-IKGQH","One year","104.45","52","No","stable"
"9239-GZHZE","Two year","113.65","72","No","stable"
"7205-BAIAD","Two year","20.6","40","No","stable"
"0151-ONTOV","Month-to-month","70.9","1","Yes","churned"
"4140-MUHUG","Month-to-month","86.85","3","Yes","churned"
"0093-EXYQL","Month-to-month","91.55","40","No","medium risk"
"8064-RAVOH","Month-to-month","49.85","1","No","medium risk"
"0219-QAERP","One year","19.8","30","No","stable"
"0320-JDNQG","Month-to-month","99.85","23","Yes","churned"
"7180-PISOG","Month-to-month","74.5","1","Yes","churned"
"9168-INPSZ","Month-to-month","104.15","44","No","medium risk"
"3571-RFHAR","Month-to-month","109.15","65","Yes","churned"
"0015-UOCOJ","Month-to-month","48.2","7","No","medium risk"
"5334-AFQJB","Two year","25.1","72","No","stable"
"2754-SDJRD","Month-to-month","100.15","8","No","high risk"
"9578-VRMNM","Month-to-month","65.2","16","Yes","churned"
"1587-FKLZB","Month-to-month","99.5","66","Yes","churned"
"6140-QNRQQ","Month-to-month","71.55","1","Yes","churned"
"8963-JLGJT","Month-to-month","55.9","3","No","medium risk"
"4307-KTUMW","Month-to-month","93.9","53","Yes","churned"
"1465-LNTLJ","Month-to-month","64.4","8","No","medium risk"
"5440-FLBQG","Two year","108.4","69","Yes","churned"
"2135-DQWAQ","Month-to-month","85.3","5","No","high risk"
"4056-QHXHZ","Two year","107.45","72","No","stable"
"7470-MCQTK","Month-to-month","48.75","13","Yes","churned"
"7488-MXJIV","Month-to-month","85.65","4","Yes","churned"
"7401-JIXNM","Two year","91.3","54","No","stable"
"9339-FIIJL","Two year","85.95","72","No","stable"
"2027-FECZV","Month-to-month","106.7","12","Yes","churned"
"2672-DZUOY","Month-to-month","25.15","1","Yes","churned"
"4706-DGAHW","Month-to-month","45.2","1","No","medium risk"
"3870-MQAMG","One year","110.35","54","Yes","churned"
"6670-MFRPK","Two year","79.2","69","No","stable"
