"customerid","gender","Contract","tenure","MonthlyCharges","PaymentMethod","risk_level"
"2692-BUCFV","Male","Month-to-month","29","101.45","Bank transfer (automatic)","Low/Medium Risk"
"2603-HVKCG","Male","Month-to-month","31","101.4","Electronic check","Low/Medium Risk"
"2452-KDRRH","Male","Month-to-month","67","101.4","Credit card (automatic)","Low/Medium Risk"
"5298-GSTLM","Female","One year","60","101.4","Bank transfer (automatic)","Low/Medium Risk"
"2809-ZMYOQ","Female","Month-to-month","32","101.35","Electronic check","Low/Medium Risk"
"1335-HQMKX","Female","One year","72","101.35","Electronic check","Low/Medium Risk"
"6500-JVEGC","Male","One year","68","101.35","Bank transfer (automatic)","Low/Medium Risk"
"4553-DVPZG","Female","Month-to-month","62","101.35","Electronic check","Low/Medium Risk"
"4884-TVUQF","Female","Two year","57","101.3","Credit card (automatic)","Low/Medium Risk"
"0019-EFAEP","Female","Two year","72","101.3","Bank transfer (automatic)","Low/Medium Risk"
"6693-FRIRW","Male","Month-to-month","18","101.3","Credit card (automatic)","Low/Medium Risk"
"7748-UMTRK","Female","Month-to-month","30","101.3","Electronic check","Low/Medium Risk"
"5811-IWXYM","Female","One year","52","101.25","Bank transfer (automatic)","Low/Medium Risk"
"0147-ESWWR","Female","Month-to-month","39","101.25","Electronic check","Low/Medium Risk"
"3167-SNQPL","Male","Month-to-month","38","101.15","Electronic check","Low/Medium Risk"
"4455-BFSPD","Female","One year","61","101.15","Bank transfer (automatic)","Low/Medium Risk"
"8378-LKJAF","Male","Month-to-month","38","101.15","Credit card (automatic)","Low/Medium Risk"
"7182-OVLBJ","Female","Two year","62","101.15","Bank transfer (automatic)","Low/Medium Risk"
"3716-LRGXK","Male","Two year","60","101.15","Credit card (automatic)","Low/Medium Risk"
"5453-YBTWV","Male","Two year","70","101.1","Credit card (automatic)","Low/Medium Risk"
"9825-YCXWZ","Female","One year","41","101.1","Bank transfer (automatic)","Low/Medium Risk"
"2014-MKGMH","Female","One year","46","101.1","Electronic check","Low/Medium Risk"
"1095-WGNGG","Female","Two year","61","101.05","Bank transfer (automatic)","Low/Medium Risk"
"7901-TBKJX","Male","Month-to-month","56","101.05","Electronic check","Low/Medium Risk"
"2898-MRKPI","Male","One year","68","101.05","Credit card (automatic)","Low/Medium Risk"
"2521-NPUZR","Male","Two year","70","101","Credit card (automatic)","Low/Medium Risk"
"7879-CGSFV","Male","One year","55","100.9","Mailed check","Low/Medium Risk"
"2696-ECXKC","Female","One year","55","100.9","Mailed check","Low/Medium Risk"
"9848-JQJTX","Male","Two year","72","100.9","Bank transfer (automatic)","Low/Medium Risk"
"8402-EIVQS","Male","One year","67","100.9","Credit card (automatic)","Low/Medium Risk"
"2040-VZIKE","Female","Month-to-month","49","100.85","Mailed check","Low/Medium Risk"
"4132-KALRO","Female","Month-to-month","4","100.85","Mailed check","High Risk"
"0899-LIIBW","Male","Month-to-month","34","100.85","Electronic check","Low/Medium Risk"
"1013-QCWAM","Female","Month-to-month","66","100.8","Electronic check","Low/Medium Risk"
"6851-WEFYX","Male","Month-to-month","35","100.8","Electronic check","Low/Medium Risk"
"2293-IJWPS","Female","One year","57","100.75","Credit card (automatic)","Low/Medium Risk"
"9079-LWTFD","Male","Month-to-month","47","100.75","Mailed check","Low/Medium Risk"
"3756-VNWDH","Male","One year","65","100.75","Electronic check","Low/Medium Risk"
"7315-WYOAW","Male","Month-to-month","13","100.75","Electronic check","Low/Medium Risk"
"7587-AOVVU","Male","Month-to-month","27","100.75","Electronic check","Low/Medium Risk"
"3096-WPXBT","Female","One year","61","100.7","Credit card (automatic)","Low/Medium Risk"
"0265-PSUAE","Female","Month-to-month","16","100.7","Bank transfer (automatic)","Low/Medium Risk"
"5671-UUNXD","Female","One year","50","100.65","Electronic check","Low/Medium Risk"
"7392-YYPYJ","Male","Month-to-month","22","100.65","Electronic check","Low/Medium Risk"
"5781-BKHOP","Female","Two year","72","100.65","Bank transfer (automatic)","Low/Medium Risk"
"5278-PNYOX","Female","Two year","49","100.65","Credit card (automatic)","Low/Medium Risk"
"1932-UEDCX","Male","Month-to-month","33","100.6","Bank transfer (automatic)","Low/Medium Risk"
"8384-FZBJK","Female","Month-to-month","57","100.6","Electronic check","Low/Medium Risk"
"0218-QNVAS","Male","One year","71","100.55","Bank transfer (automatic)","Low/Medium Risk"
"1217-VASWC","Male","One year","43","100.55","Bank transfer (automatic)","Low/Medium Risk"
"2924-KHUVI","Male","One year","56","100.55","Electronic check","Low/Medium Risk"
"7663-ZTEGJ","Male","One year","29","100.55","Credit card (automatic)","Low/Medium Risk"
"6481-ESCNL","Female","Month-to-month","29","100.55","Bank transfer (automatic)","Low/Medium Risk"
"8809-XKHMD","Male","Two year","72","100.55","Bank transfer (automatic)","Low/Medium Risk"
"7641-TQFHN","Male","Two year","39","100.55","Mailed check","Low/Medium Risk"
"6463-HHXJR","Female","Two year","71","100.5","Bank transfer (automatic)","Low/Medium Risk"
"7714-YXSMB","Female","Month-to-month","26","100.5","Bank transfer (automatic)","Low/Medium Risk"
"0434-CSFON","Female","Month-to-month","47","100.5","Electronic check","Low/Medium Risk"
"8982-NHAVY","Male","One year","27","100.5","Bank transfer (automatic)","Low/Medium Risk"
"0512-FLFDW","Female","One year","60","100.5","Credit card (automatic)","Low/Medium Risk"
"6116-RFVHN","Female","Month-to-month","34","100.45","Electronic check","Low/Medium Risk"
"8659-IOOPU","Female","Two year","71","100.45","Electronic check","Low/Medium Risk"
"1116-DXXDF","Male","Two year","39","100.45","Electronic check","Low/Medium Risk"
"4998-IKFSE","Female","Month-to-month","30","100.45","Electronic check","Low/Medium Risk"
"1482-OXZSY","Male","Month-to-month","30","100.4","Bank transfer (automatic)","Low/Medium Risk"
"6847-KJLTS","Female","Month-to-month","58","100.4","Bank transfer (automatic)","Low/Medium Risk"
"1641-RQDAY","Female","Month-to-month","32","100.4","Electronic check","Low/Medium Risk"
"0722-SVSFK","Female","Month-to-month","7","100.4","Electronic check","High Risk"
"8216-AZUUZ","Female","Two year","42","100.4","Electronic check","Low/Medium Risk"
"8091-TTVAX","Male","One year","58","100.35","Credit card (automatic)","Low/Medium Risk"
"0516-OOHAR","Male","One year","28","100.35","Bank transfer (automatic)","Low/Medium Risk"
"2800-QQUSO","Male","Month-to-month","42","100.3","Electronic check","Low/Medium Risk"
"8375-KVTHK","Male","One year","68","100.3","Electronic check","Low/Medium Risk"
"5223-UZAVK","Male","One year","64","100.3","Credit card (automatic)","Low/Medium Risk"
"5816-QVHRX","Female","Month-to-month","37","100.3","Credit card (automatic)","Low/Medium Risk"
"5447-WZAFP","Female","One year","53","100.3","Mailed check","Low/Medium Risk"
"0853-NWIFK","Female","One year","45","100.3","Electronic check","Low/Medium Risk"
"3253-HKOKL","Female","One year","52","100.3","Electronic check","Low/Medium Risk"
"6199-IWKGC","Female","One year","46","100.25","Electronic check","Low/Medium Risk"
"9402-ROUMJ","Female","One year","67","100.25","Bank transfer (automatic)","Low/Medium Risk"
"4366-CTOUZ","Female","Two year","50","100.2","Mailed check","Low/Medium Risk"
"9028-LIHRP","Male","Two year","71","100.2","Credit card (automatic)","Low/Medium Risk"
"7272-QDCKA","Male","One year","28","100.2","Electronic check","Low/Medium Risk"
"7379-FNIUJ","Male","Month-to-month","2","100.2","Electronic check","High Risk"
"4837-QUSFT","Female","One year","65","100.15","Bank transfer (automatic)","Low/Medium Risk"
"9094-AZPHK","Female","Month-to-month","15","100.15","Electronic check","Low/Medium Risk"
"2754-SDJRD","Female","Month-to-month","8","100.15","Credit card (automatic)","High Risk"
"9233-PSYHO","Female","One year","45","100.15","Bank transfer (automatic)","Low/Medium Risk"
"3162-KKZXO","Female","One year","55","100.15","Electronic check","Low/Medium Risk"
"2578-JQPHZ","Male","Two year","44","100.1","Bank transfer (automatic)","Low/Medium Risk"
"1956-YIFGE","Male","One year","22","100.05","Mailed check","Low/Medium Risk"
"0931-MHTEM","Female","One year","54","100.05","Credit card (automatic)","Low/Medium Risk"
"2669-OIDSD","Female","Month-to-month","48","100.05","Credit card (automatic)","Low/Medium Risk"
"5090-EMGTC","Female","Two year","59","100.05","Mailed check","Low/Medium Risk"
"1666-JXLKU","Female","Month-to-month","37","100.05","Electronic check","Low/Medium Risk"
"0327-WFZSY","Male","One year","39","100","Electronic check","Low/Medium Risk"
"8709-KRDVL","Female","Month-to-month","33","100","Electronic check","Low/Medium Risk"
"0089-IIQKO","Female","Month-to-month","39","99.95","Credit card (automatic)","Low/Medium Risk"
"3511-APPBJ","Male","One year","23","99.95","Credit card (automatic)","Low/Medium Risk"
"0356-OBMAC","Female","Two year","56","99.9","Bank transfer (automatic)","Low/Medium Risk"
"6234-RAAPL","Female","Two year","72","99.9","Bank transfer (automatic)","Low/Medium Risk"
"4937-QPZPO","Male","One year","61","99.9","Electronic check","Low/Medium Risk"
"4686-UXDML","Female","Month-to-month","21","99.85","Credit card (automatic)","Low/Medium Risk"
"0380-NEAVX","Male","One year","34","99.85","Electronic check","Low/Medium Risk"
"8631-WUXGY","Female","Month-to-month","46","99.8","Electronic check","Low/Medium Risk"
"8785-CJSHH","Female","Month-to-month","60","99.8","Electronic check","Low/Medium Risk"
"1091-SOZGA","Female","One year","56","99.8","Credit card (automatic)","Low/Medium Risk"
"0420-HLGXF","Female","Month-to-month","39","99.75","Electronic check","Low/Medium Risk"
"2805-EDJPQ","Female","One year","56","99.75","Credit card (automatic)","Low/Medium Risk"
"6215-NQCPY","Male","Month-to-month","15","99.7","Electronic check","Low/Medium Risk"
"1545-ACTAS","Female","One year","48","99.7","Bank transfer (automatic)","Low/Medium Risk"
"4713-ZBURT","Male","Two year","45","99.7","Bank transfer (automatic)","Low/Medium Risk"
"4128-ETESU","Female","Month-to-month","47","99.7","Electronic check","Low/Medium Risk"
"6211-WWLTF","Male","Two year","63","99.7","Credit card (automatic)","Low/Medium Risk"
"8065-QBYTO","Female","One year","71","99.65","Credit card (automatic)","Low/Medium Risk"
"5693-PIPCS","Male","Two year","41","99.65","Credit card (automatic)","Low/Medium Risk"
"3070-BDOQC","Female","Two year","60","99.65","Electronic check","Low/Medium Risk"
"2674-MLXMN","Female","Month-to-month","71","99.65","Credit card (automatic)","Low/Medium Risk"
"0447-RXSGD","Male","Month-to-month","24","99.65","Bank transfer (automatic)","Low/Medium Risk"
"8769-KKTPH","Female","One year","63","99.65","Credit card (automatic)","Low/Medium Risk"
"8468-EHYJA","Female","Month-to-month","57","99.65","Electronic check","Low/Medium Risk"
"0572-ZJKLT","Female","Two year","46","99.65","Mailed check","Low/Medium Risk"
"9938-TKDGL","Male","Two year","68","99.55","Electronic check","Low/Medium Risk"
"6103-LIANB","Male","Two year","59","99.5","Credit card (automatic)","Low/Medium Risk"
"3349-ANQNH","Female","One year","59","99.5","Electronic check","Low/Medium Risk"
"0320-DWVTU","Female","Two year","53","99.5","Mailed check","Low/Medium Risk"
"6227-FBDXH","Male","One year","69","99.5","Bank transfer (automatic)","Low/Medium Risk"
"6627-CFOSN","Female","Month-to-month","59","99.45","Bank transfer (automatic)","Low/Medium Risk"
"7954-MLBUN","Male","Two year","31","99.45","Bank transfer (automatic)","Low/Medium Risk"
"7103-IPXPJ","Male","One year","50","99.4","Electronic check","Low/Medium Risk"
"0487-RPVUM","Male","Month-to-month","61","99.4","Bank transfer (automatic)","Low/Medium Risk"
"7005-CYUIL","Female","Two year","71","99.4","Electronic check","Low/Medium Risk"
"0665-XHDJU","Male","Two year","72","99.4","Electronic check","Low/Medium Risk"
"9732-EQMWY","Female","Month-to-month","49","99.4","Electronic check","Low/Medium Risk"
"6196-HBOBZ","Male","Two year","65","99.35","Electronic check","Low/Medium Risk"
"4419-UJMUS","Male","Two year","69","99.35","Electronic check","Low/Medium Risk"
"1325-USMEC","Male","Two year","70","99.35","Credit card (automatic)","Low/Medium Risk"
"3524-WQDSG","Female","Month-to-month","43","99.3","Bank transfer (automatic)","Low/Medium Risk"
"4445-ZJNMU","Male","Month-to-month","9","99.3","Credit card (automatic)","High Risk"
"8929-KSWIH","Male","Two year","25","99.3","Bank transfer (automatic)","Low/Medium Risk"
"2284-VFLKH","Male","One year","49","99.25","Credit card (automatic)","Low/Medium Risk"
"9570-KYEUA","Male","Two year","64","99.25","Credit card (automatic)","Low/Medium Risk"
"0080-OROZO","Female","One year","35","99.25","Electronic check","Low/Medium Risk"
"5578-NKCXI","Female","One year","58","99.25","Credit card (automatic)","Low/Medium Risk"
"2277-BKJKN","Female","Two year","71","99.2","Electronic check","Low/Medium Risk"
"2371-KFUOG","Male","One year","58","99.15","Bank transfer (automatic)","Low/Medium Risk"
"2227-JRSJX","Female","Month-to-month","21","99.15","Bank transfer (automatic)","Low/Medium Risk"
"0742-LAFQK","Male","Two year","72","99.15","Electronic check","Low/Medium Risk"
"3705-RHRFR","Female","Two year","69","99.15","Bank transfer (automatic)","Low/Medium Risk"
"9974-JFBHQ","Male","Month-to-month","64","99.15","Credit card (automatic)","Low/Medium Risk"
"1360-JYXKQ","Female","One year","54","99.1","Electronic check","Low/Medium Risk"
"6383-ZTSIW","Female","One year","39","99.1","Mailed check","Low/Medium Risk"
"8065-BVEPF","Male","Month-to-month","65","99.1","Bank transfer (automatic)","Low/Medium Risk"
"5331-RGMTT","Male","Month-to-month","54","99.05","Credit card (automatic)","Low/Medium Risk"
"3588-WSTTJ","Female","Month-to-month","35","99.05","Electronic check","Low/Medium Risk"
"5716-EZXZN","Female","Two year","65","99.05","Credit card (automatic)","Low/Medium Risk"
"1545-JFUML","Male","Two year","71","99","Electronic check","Low/Medium Risk"
"9705-IOVQQ","Male","One year","61","99","Electronic check","Low/Medium Risk"
"0815-MFZGM","Female","Two year","42","99","Credit card (automatic)","Low/Medium Risk"
"2277-DJJDL","Male","Month-to-month","60","99","Electronic check","Low/Medium Risk"
"7064-FRRSW","Male","One year","48","99","Electronic check","Low/Medium Risk"
"5649-RXQTV","Male","Month-to-month","51","99","Electronic check","Low/Medium Risk"
"0959-WHOKV","Male","One year","42","99","Electronic check","Low/Medium Risk"
"3230-JCNZS","Female","Two year","71","99","Credit card (automatic)","Low/Medium Risk"
"4049-ZPALD","Female","Two year","64","99","Bank transfer (automatic)","Low/Medium Risk"
"3587-PMCOY","Male","One year","10","98.9","Electronic check","Low/Medium Risk"
"2675-DHUTR","Male","Month-to-month","58","98.9","Electronic check","Low/Medium Risk"
"9402-CXWPL","Female","One year","70","98.9","Electronic check","Low/Medium Risk"
"1751-NCDLI","Male","Month-to-month","46","98.85","Electronic check","Low/Medium Risk"
"3312-UUMZW","Male","Month-to-month","32","98.85","Credit card (automatic)","Low/Medium Risk"
"0422-UXFAP","Female","One year","51","98.85","Electronic check","Low/Medium Risk"
"6088-BXMRG","Female","Month-to-month","32","98.85","Electronic check","Low/Medium Risk"
"0468-YRPXN","Male","Month-to-month","29","98.8","Credit card (automatic)","Low/Medium Risk"
"5229-DTFYB","Female","Two year","41","98.8","Bank transfer (automatic)","Low/Medium Risk"
"4686-GEFRM","Male","Two year","70","98.7","Bank transfer (automatic)","Low/Medium Risk"
"1427-VERSM","Female","Month-to-month","56","98.7","Electronic check","Low/Medium Risk"
"7856-GANIL","Male","One year","45","98.7","Bank transfer (automatic)","Low/Medium Risk"
"9133-AYJZG","Female","Month-to-month","23","98.7","Credit card (automatic)","Low/Medium Risk"
"6988-CJEYV","Male","Month-to-month","49","98.7","Electronic check","Low/Medium Risk"
"6559-PDZLR","Male","Month-to-month","26","98.65","Electronic check","Low/Medium Risk"
"9571-EDEBV","Male","One year","71","98.65","Credit card (automatic)","Low/Medium Risk"
"7730-CLDSV","Female","Two year","72","98.65","Bank transfer (automatic)","Low/Medium Risk"
"9770-KXGQU","Female","One year","53","98.6","Mailed check","Low/Medium Risk"
"2208-UGTGR","Male","Month-to-month","56","98.6","Electronic check","Low/Medium Risk"
"3211-AAPKX","Male","Month-to-month","20","98.55","Mailed check","Low/Medium Risk"
"1131-SUEKT","Male","One year","61","98.45","Bank transfer (automatic)","Low/Medium Risk"
"5663-QBGIS","Male","Two year","72","98.35","Bank transfer (automatic)","Low/Medium Risk"
"3545-CNWRG","Female","Month-to-month","49","98.35","Electronic check","Low/Medium Risk"
"1543-LLLFT","Male","One year","61","98.3","Mailed check","Low/Medium Risk"
"1357-BIJKI","Male","One year","50","98.25","Electronic check","Low/Medium Risk"
"1937-OTUKY","Female","Two year","72","98.2","Bank transfer (automatic)","Low/Medium Risk"
"5996-NRVXR","Male","One year","40","98.15","Credit card (automatic)","Low/Medium Risk"
"4472-VESGY","Female","Month-to-month","52","98.15","Bank transfer (automatic)","Low/Medium Risk"
"2665-NPTGL","Female","Month-to-month","26","98.1","Bank transfer (automatic)","Low/Medium Risk"
"5150-LJNSR","Male","One year","31","98.05","Bank transfer (automatic)","Low/Medium Risk"
"5312-UXESG","Female","Month-to-month","41","98.05","Bank transfer (automatic)","Low/Medium Risk"
"3134-DSHVC","Female","Two year","63","98","Credit card (automatic)","Low/Medium Risk"
"6284-KMNUF","Female","One year","56","98","Electronic check","Low/Medium Risk"
"6559-RAKOZ","Male","One year","49","97.95","Electronic check","Low/Medium Risk"
"5268-DSMNQ","Female","One year","62","97.95","Credit card (automatic)","Low/Medium Risk"
"6176-YJWAS","Male","Two year","72","97.95","Credit card (automatic)","Low/Medium Risk"
"0575-CUQOV","Male","One year","60","97.95","Electronic check","Low/Medium Risk"
"1304-SEGFY","Female","Two year","72","97.85","Electronic check","Low/Medium Risk"
"2480-EJWYP","Female","One year","58","97.8","Bank transfer (automatic)","Low/Medium Risk"
"5294-IMHHT","Male","One year","53","97.75","Bank transfer (automatic)","Low/Medium Risk"
"3133-PZNSR","Male","Two year","72","97.75","Credit card (automatic)","Low/Medium Risk"
"8152-VETUR","Female","Two year","72","97.7","Credit card (automatic)","Low/Medium Risk"
"4947-DSMXK","Male","Month-to-month","34","97.7","Bank transfer (automatic)","Low/Medium Risk"
"0670-ANMUU","Male","One year","71","97.65","Credit card (automatic)","Low/Medium Risk"
"0727-BNRLG","Male","Two year","69","97.65","Credit card (automatic)","Low/Medium Risk"
"0326-VDYXE","Female","One year","70","97.65","Electronic check","Low/Medium Risk"
"5740-YHGTW","Male","Month-to-month","70","97.55","Credit card (automatic)","Low/Medium Risk"
"1573-LGXBA","Male","One year","57","97.55","Credit card (automatic)","Low/Medium Risk"
"4159-NAAIX","Female","Two year","63","97.45","Bank transfer (automatic)","Low/Medium Risk"
"3339-EAQNV","Male","One year","72","97.25","Credit card (automatic)","Low/Medium Risk"
"9715-WZCLW","Male","Two year","71","97.2","Electronic check","Low/Medium Risk"
"6035-RIIOM","Female","Two year","54","97.2","Bank transfer (automatic)","Low/Medium Risk"
"9933-QRGTX","Female","Two year","60","97.2","Electronic check","Low/Medium Risk"
"9833-TGFHX","Male","One year","42","97.1","Electronic check","Low/Medium Risk"
"6645-MXQJT","Male","Month-to-month","2","97.1","Electronic check","High Risk"
"3898-GUYTS","Female","Month-to-month","45","97.05","Electronic check","Low/Medium Risk"
"6821-JPCDC","Female","One year","48","97.05","Electronic check","Low/Medium Risk"
"4654-DLAMQ","Female","One year","64","97","Bank transfer (automatic)","Low/Medium Risk"
"6719-FGEDO","Female","Two year","72","97","Bank transfer (automatic)","Low/Medium Risk"
"6874-SGLHU","Male","One year","30","97","Bank transfer (automatic)","Low/Medium Risk"
"3644-QXEHN","Male","Month-to-month","13","97","Electronic check","Low/Medium Risk"
"5827-MWCZK","Male","Month-to-month","56","96.95","Credit card (automatic)","Low/Medium Risk"
"3323-CPBWR","Male","Month-to-month","23","96.9","Credit card (automatic)","Low/Medium Risk"
"3327-YBAKM","Female","One year","64","96.9","Mailed check","Low/Medium Risk"
"5327-CNLUQ","Male","Two year","48","96.9","Bank transfer (automatic)","Low/Medium Risk"
"4007-NHVHI","Female","Month-to-month","56","96.85","Electronic check","Low/Medium Risk"
"9290-SHCMB","Female","Month-to-month","13","96.85","Electronic check","Low/Medium Risk"
"9909-IDLEK","Male","Month-to-month","20","96.8","Mailed check","Low/Medium Risk"
"0480-BIXDE","Female","Month-to-month","19","96.8","Electronic check","Low/Medium Risk"
"8547-NSBBO","Male","Month-to-month","35","96.75","Mailed check","Low/Medium Risk"
"0824-VWDPO","Female","One year","45","96.75","Bank transfer (automatic)","Low/Medium Risk"
"5195-KPUNQ","Female","One year","53","96.75","Mailed check","Low/Medium Risk"
"2085-BOJKI","Male","One year","17","96.65","Bank transfer (automatic)","Low/Medium Risk"
"4194-WHFCB","Female","Month-to-month","59","96.65","Bank transfer (automatic)","Low/Medium Risk"
"6635-CPNUN","Male","Month-to-month","28","96.6","Credit card (automatic)","Low/Medium Risk"
"2057-BOYKM","Female","Two year","72","96.6","Bank transfer (automatic)","Low/Medium Risk"
"7813-ZGGAW","Male","Month-to-month","31","96.6","Bank transfer (automatic)","Low/Medium Risk"
"6242-FEGFD","Male","Two year","66","96.6","Mailed check","Low/Medium Risk"
"7826-VVKWT","Female","Two year","24","96.55","Electronic check","Low/Medium Risk"
"4566-NECEV","Male","Month-to-month","5","96.55","Electronic check","High Risk"
"2604-IJPDU","Female","Month-to-month","20","96.55","Electronic check","Low/Medium Risk"
"0898-XCGTF","Male","One year","61","96.5","Bank transfer (automatic)","Low/Medium Risk"
"5937-EORGB","Male","Month-to-month","15","96.5","Electronic check","Low/Medium Risk"
"1810-BOHSY","Male","One year","51","96.4","Credit card (automatic)","Low/Medium Risk"
"4657-FWVFY","Female","Month-to-month","40","96.35","Credit card (automatic)","Low/Medium Risk"
"3841-NFECX","Female","Two year","71","96.35","Credit card (automatic)","Low/Medium Risk"
"9508-ILZDG","Female","Month-to-month","34","96.35","Electronic check","Low/Medium Risk"
"4060-LDNLU","Male","Month-to-month","7","96.2","Electronic check","High Risk"
"9114-VEPUF","Male","One year","62","96.1","Electronic check","Low/Medium Risk"
"9544-PYPSJ","Female","Month-to-month","62","96.1","Credit card (automatic)","Low/Medium Risk"
"5014-WUQMG","Male","One year","47","96.1","Electronic check","Low/Medium Risk"
"6862-CQUMB","Male","Month-to-month","37","96.1","Credit card (automatic)","Low/Medium Risk"
"6728-VOIFY","Female","One year","63","96","Electronic check","Low/Medium Risk"
"9391-LMANN","Male","One year","53","95.95","Electronic check","Low/Medium Risk"
"4647-MUZON","Female","Month-to-month","18","95.95","Credit card (automatic)","Low/Medium Risk"
"9495-SKLKD","Male","Month-to-month","45","95.95","Bank transfer (automatic)","Low/Medium Risk"
"8639-NHQEI","Female","Two year","72","95.9","Bank transfer (automatic)","Low/Medium Risk"
"4989-LIXVT","Male","Month-to-month","68","95.9","Electronic check","Low/Medium Risk"
"6234-PFPXL","Male","Month-to-month","22","95.9","Credit card (automatic)","Low/Medium Risk"
"7426-RHZGU","Male","Month-to-month","9","95.9","Bank transfer (automatic)","High Risk"
"2858-EIMXH","Female","One year","53","95.85","Credit card (automatic)","Low/Medium Risk"
"1393-IMKZG","Female","Month-to-month","1","95.85","Electronic check","High Risk"
"9909-DFRJA","Female","One year","26","95.85","Bank transfer (automatic)","Low/Medium Risk"
"9128-CPXKI","Female","Two year","59","95.8","Electronic check","Low/Medium Risk"
"0916-QOFDP","Female","Month-to-month","14","95.8","Electronic check","Low/Medium Risk"
"6265-SXWBU","Male","One year","69","95.75","Credit card (automatic)","Low/Medium Risk"
"0020-INWCK","Female","Two year","71","95.75","Credit card (automatic)","Low/Medium Risk"
"5473-KHBPS","Female","One year","52","95.7","Credit card (automatic)","Low/Medium Risk"
"8272-ONJLV","Male","One year","12","95.7","Electronic check","Low/Medium Risk"
"2507-QZPQS","Male","Month-to-month","15","95.7","Electronic check","Low/Medium Risk"
"6212-ATMLK","Female","Month-to-month","50","95.7","Electronic check","Low/Medium Risk"
"7011-CVEUC","Male","Month-to-month","25","95.7","Credit card (automatic)","Low/Medium Risk"
"8910-ICHIU","Female","One year","46","95.65","Credit card (automatic)","Low/Medium Risk"
"2279-AXJJK","Male","Month-to-month","52","95.65","Credit card (automatic)","Low/Medium Risk"
"8905-IAZPF","Female","One year","69","95.65","Credit card (automatic)","Low/Medium Risk"
"1696-HXOWK","Female","One year","71","95.65","Mailed check","Low/Medium Risk"
"7629-WFGLW","Female","One year","56","95.65","Electronic check","Low/Medium Risk"
"3853-LYGAM","Male","Month-to-month","17","95.65","Bank transfer (automatic)","Low/Medium Risk"
"3597-MVHJT","Female","Month-to-month","27","95.6","Bank transfer (automatic)","Low/Medium Risk"
"3320-VEOYC","Male","Month-to-month","14","95.6","Electronic check","Low/Medium Risk"
"4690-PKDQG","Female","Month-to-month","42","95.55","Electronic check","Low/Medium Risk"
"7188-CBBBA","Female","One year","65","95.5","Electronic check","Low/Medium Risk"
"5302-BDJNT","Male","Month-to-month","35","95.5","Electronic check","Low/Medium Risk"
"0564-MUUQK","Female","Month-to-month","20","95.5","Bank transfer (automatic)","Low/Medium Risk"
"7375-WMVMT","Male","Two year","71","95.5","Credit card (automatic)","Low/Medium Risk"
"4929-XIHVW","Male","Month-to-month","2","95.5","Credit card (automatic)","High Risk"
"9776-OJUZI","Female","Month-to-month","65","95.45","Bank transfer (automatic)","Low/Medium Risk"
"0396-YCHWO","Male","Month-to-month","36","95.4","Electronic check","Low/Medium Risk"
"2984-AFWNC","Female","Month-to-month","3","95.4","Electronic check","High Risk"
"4742-DRORA","Male","One year","60","95.4","Bank transfer (automatic)","Low/Medium Risk"
"4724-WXVWF","Male","Month-to-month","48","95.4","Electronic check","Low/Medium Risk"
"9279-CJEOJ","Female","Month-to-month","21","95.4","Bank transfer (automatic)","Low/Medium Risk"
"0701-RFGFI","Female","Month-to-month","49","95.4","Bank transfer (automatic)","Low/Medium Risk"
"8755-IWJHN","Male","Month-to-month","69","95.35","Bank transfer (automatic)","Low/Medium Risk"
"8421-WZOOW","Female","Month-to-month","57","95.3","Credit card (automatic)","Low/Medium Risk"
"9921-EZKBY","Male","Month-to-month","33","95.3","Bank transfer (automatic)","Low/Medium Risk"
"9793-WECQC","Male","Month-to-month","23","95.3","Mailed check","Low/Medium Risk"
"9494-BDNNC","Male","One year","66","95.3","Electronic check","Low/Medium Risk"
"2386-OWURY","Female","Month-to-month","58","95.3","Electronic check","Low/Medium Risk"
"1960-UYCNN","Male","Month-to-month","10","95.25","Electronic check","High Risk"
"2824-MYYBN","Female","Month-to-month","37","95.25","Electronic check","Low/Medium Risk"
"3946-JEWRQ","Male","One year","47","95.2","Credit card (automatic)","Low/Medium Risk"
"6568-POCUI","Female","Two year","45","95.2","Credit card (automatic)","Low/Medium Risk"
"6244-BESBM","Male","Two year","69","95.2","Credit card (automatic)","Low/Medium Risk"
"5982-FPVQN","Female","Month-to-month","37","95.15","Electronic check","Low/Medium Risk"
"5149-QYTTU","Female","One year","71","95.15","Credit card (automatic)","Low/Medium Risk"
"3003-CMDUU","Female","Month-to-month","25","95.15","Electronic check","Low/Medium Risk"
"4531-AUZNK","Female","One year","51","95.15","Mailed check","Low/Medium Risk"
"5382-SOYZL","Male","Month-to-month","22","95.1","Electronic check","Low/Medium Risk"
"6242-MBHPK","Female","Month-to-month","23","95.1","Electronic check","Low/Medium Risk"
"6838-YAUVY","Female","Two year","54","95.1","Bank transfer (automatic)","Low/Medium Risk"
"5183-SNMJQ","Male","Month-to-month","10","95.1","Credit card (automatic)","High Risk"
"2270-CHBFN","Female","Month-to-month","44","95.1","Credit card (automatic)","Low/Medium Risk"
"6075-SLNIL","Male","Month-to-month","38","95.1","Credit card (automatic)","Low/Medium Risk"
"7765-LWVVH","Female","Two year","72","95.1","Electronic check","Low/Medium Risk"
"1930-QPBVZ","Male","Two year","68","95.1","Bank transfer (automatic)","Low/Medium Risk"
"2823-LKABH","Female","Month-to-month","18","95.05","Bank transfer (automatic)","Low/Medium Risk"
